af,'oor %s','%s gelede',"'n paar sekondes",'%d sekondes',"'n minuut",'%d minute',"'n uur",'%d ure',"'n dag",'%d dae',"'n maand",'%d maande',"'n jaar",'%d jaar'
ar,'في %s','منذ %s','ثوان','%d ثانية','دقيقة','%d دقائق','ساعة','%d ساعات','يوم','%d أيام','شهر','%d أشهر','سنة','%d سنوات'
az,'%s sonra','%s əvvəl','birneçə saniyyə','%d saniyə','bir dəqiqə','%d dəqiqə','bir saat','%d saat','bir gün','%d gün','bir ay','%d ay','bir il','%d il'
bg,'след %s','преди %s','няколко секунди','%d секунди','минута','%d минути','час','%d часа','ден','%d дни','месец','%d месеца','година','%d години'
bm,'%s kɔnɔ','a bɛ %s bɔ','sanga dama dama','sekondi %d','miniti kelen','miniti %d','lɛrɛ kelen','lɛrɛ %d','tile kelen','tile %d','kalo kelen','kalo %d','san kelen','san %d'
bn,'%s পরে','%s আগে','কয়েক সেকেন্ড','%d সেকেন্ড','এক মিনিট','%d মিনিট','এক ঘন্টা','%d ঘন্টা','এক দিন','%d দিন','এক মাস','%d মাস','এক বছর','%d বছর'
bo,'%s ལ་','%s སྔན་ལ','ལམ་སང','%d སྐར་ཆ།','སྐར་མ་གཅིག','%d སྐར་མ','ཆུ་ཚོད་གཅིག','%d ཆུ་ཚོད','ཉིན་གཅིག','%d ཉིན་','ཟླ་བ་གཅིག','%d ཟླ་བ','ལོ་གཅིག','%d ལོ'
ca,"d'aquí %s",'fa %s','uns segons','%d segons','un minut','%d minuts','una hora','%d hores','un dia','%d dies','un mes','%d mesos','un any','%d anys'
cy,'mewn %s','%s yn ôl','ychydig eiliadau','%d eiliad','munud','%d munud','awr','%d awr','diwrnod','%d diwrnod','mis','%d mis','blwyddyn','%d flynedd'
da,'om %s','%s siden','få sekunder','%d sekunder','et minut','%d minutter','en time','%d timer','en dag','%d dage','en måned','%d måneder','et år','%d år'
dv,'ތެރޭގައި %s','ކުރިން %s','ސިކުންތުކޮޅެއް','d% ސިކުންތު','މިނިޓެއް','މިނިޓު %d','ގަޑިއިރެއް','ގަޑިއިރު %d','ދުވަހެއް','ދުވަސް %d','މަހެއް','މަސް %d','އަހަރެއް','އަހަރު %d'
el,'σε %s','%s πριν','λίγα δευτερόλεπτα','%d δευτερόλεπτα','ένα λεπτό','%d λεπτά','μία ώρα','%d ώρες','μία μέρα','%d μέρες','ένας μήνας','%d μήνες','ένας χρόνος','%d χρόνια'
en,'in %s','%s ago','a few seconds','%d seconds','a minute','%d minutes','an hour','%d hours','a day','%d days','a month','%d months','a year','%d years'
eo,'post %s','antaŭ %s','sekundoj','%d sekundoj','minuto','%d minutoj','horo','%d horoj','tago','%d tagoj','monato','%d monatoj','jaro','%d jaroj'
es,'en %s','hace %s','unos segundos','%d segundos','un minuto','%d minutos','una hora','%d horas','un día','%d días','un mes','%d meses','un año','%d años'
eu,'%s barru','duela %s','segundo batzuk','%d segundo','minutu bat','%d minutu','ordu bat','%d ordu','egun bat','%d egun','hilabete bat','%d hilabete','urte bat','%d urte'
fa,'در %s','%s پیش','چند ثانیه','ثانیه d%','یک دقیقه','%d دقیقه','یک ساعت','%d ساعت','یک روز','%d روز','یک ماه','%d ماه','یک سال','%d سال'
fo,'um %s','%s síðani','fá sekund','%d sekundir','ein minutt','%d minuttir','ein tími','%d tímar','ein dagur','%d dagar','ein mánaði','%d mánaðir','eitt ár','%d ár'
fr,'dans %s','il y a %s','quelques secondes','%d secondes','une minute','%d minutes','une heure','%d heures','un jour','%d jours','un mois','%d mois','un an','%d ans'
fy,'oer %s','%s lyn','in pear sekonden','%d sekonden','ien minút','%d minuten','ien oere','%d oeren','ien dei','%d dagen','ien moanne','%d moannen','ien jier','%d jierren'
gd,'ann an %s','bho chionn %s','beagan diogan','%d diogan','mionaid','%d mionaidean','uair','%d uairean','latha','%d latha','mìos','%d mìosan','bliadhna','%d bliadhna'
gu,'%s મા','%s પેહલા','અમુક પળો','%d સેકંડ','એક મિનિટ','%d મિનિટ','એક કલાક','%d કલાક','એક દિવસ','%d દિવસ','એક મહિનો','%d મહિનો','એક વર્ષ','%d વર્ષ'
hi,'%s में','%s पहले','कुछ ही क्षण','%d सेकंड','एक मिनट','%d मिनट','एक घंटा','%d घंटे','एक दिन','%d दिन','एक महीने','%d महीने','एक वर्ष','%d वर्ष'
hy,'%s հետո','%s առաջ','մի քանի վայրկյան','%d վայրկյան','րոպե','%d րոպե','ժամ','%d ժամ','օր','%d օր','ամիս','%d ամիս','տարի','%d տարի'
id,'dalam %s','%s yang lalu','beberapa detik','%d detik','semenit','%d menit','sejam','%d jam','sehari','%d hari','sebulan','%d bulan','setahun','%d tahun'
ja,'%s後','%s前','数秒','%d秒','1分','%d分','1時間','%d時間','1日','%d日','1ヶ月','%dヶ月','1年','%d年'
jv,'wonten ing %s','%s ingkang kepengker','sawetawis detik','%d detik','setunggal menit','%d menit','setunggal jam','%d jam','sedinten','%d dinten','sewulan','%d wulan','setaun','%d taun'
kk,'%s ішінде','%s бұрын','бірнеше секунд','%d секунд','бір минут','%d минут','бір сағат','%d сағат','бір күн','%d күн','бір ай','%d ай','бір жыл','%d жыл'
km,'%sទៀត','%sមុន','ប៉ុន្មានវិនាទី','%d វិនាទី','មួយនាទី','%d នាទី','មួយម៉ោង','%d ម៉ោង','មួយថ្ងៃ','%d ថ្ងៃ','មួយខែ','%d ខែ','មួយឆ្នាំ','%d ឆ្នាំ'
kn,'%s ನಂತರ','%s ಹಿಂದೆ','ಕೆಲವು ಕ್ಷಣಗಳು','%d ಸೆಕೆಂಡುಗಳು','ಒಂದು ನಿಮಿಷ','%d ನಿಮಿಷ','ಒಂದು ಗಂಟೆ','%d ಗಂಟೆ','ಒಂದು ದಿನ','%d ದಿನ','ಒಂದು ತಿಂಗಳು','%d ತಿಂಗಳು','ಒಂದು ವರ್ಷ','%d ವರ್ಷ'
ko,'%s 후','%s 전','몇 초','%d초','1분','%d분','한 시간','%d시간','하루','%d일','한 달','%d달','일 년','%d년'
ky,'%s ичинде','%s мурун','бирнече секунд','%d секунд','бир мүнөт','%d мүнөт','бир саат','%d саат','бир күн','%d күн','бир ай','%d ай','бир жыл','%d жыл'
lo,'ອີກ %s','%sຜ່ານມາ','ບໍ່ເທົ່າໃດວິນາທີ','%d ວິນາທີ','1 ນາທີ','%d ນາທີ','1 ຊົ່ວໂມງ','%d ຊົ່ວໂມງ','1 ມື້','%d ມື້','1 ເດືອນ','%d ເດືອນ','1 ປີ','%d ປີ'
mi,'i roto i %s','%s i mua','te hēkona ruarua','%d hēkona','he meneti','%d meneti','te haora','%d haora','he ra','%d ra','he marama','%d marama','he tau','%d tau'
mk,'после %s','пред %s','неколку секунди','%d секунди','минута','%d минути','час','%d часа','ден','%d дена','месец','%d месеци','година','%d години'
ml,'%s കഴിഞ്ഞ്','%s മുൻപ്','അൽപ നിമിഷങ്ങൾ','%d സെക്കൻഡ്','ഒരു മിനിറ്റ്','%d മിനിറ്റ്','ഒരു മണിക്കൂർ','%d മണിക്കൂർ','ഒരു ദിവസം','%d ദിവസം','ഒരു മാസം','%d മാസം','ഒരു വർഷം','%d വർഷം'
ms,'dalam %s','%s yang lepas','beberapa saat','%d saat','seminit','%d minit','sejam','%d jam','sehari','%d hari','sebulan','%d bulan','setahun','%d tahun'
mt,'f’ %s','%s ilu','ftit sekondi','%d sekondi','minuta','%d minuti','siegħa','%d siegħat','ġurnata','%d ġranet','xahar','%d xhur','sena','%d sni'
my,'လာမည့် %s မှာ','လွန်ခဲ့သော %s က','စက္ကန်.အနည်းငယ်','%d စက္ကန့်','တစ်မိနစ်','%d မိနစ်','တစ်နာရီ','%d နာရီ','တစ်ရက်','%d ရက်','တစ်လ','%d လ','တစ်နှစ်','%d နှစ်'
nb,'om %s','%s siden','noen sekunder','%d sekunder','ett minutt','%d minutter','en time','%d timer','en dag','%d dager','en måned','%d måneder','ett år','%d år'
ne,'%sमा','%s अगाडि','केही क्षण','%d सेकेण्ड','एक मिनेट','%d मिनेट','एक घण्टा','%d घण्टा','एक दिन','%d दिन','एक महिना','%d महिना','एक बर्ष','%d बर्ष'
nl,'over %s','%s geleden','een paar seconden','%d seconden','één minuut','%d minuten','één uur','%d uur','één dag','%d dagen','één maand','%d maanden','één jaar','%d jaar'
nn,'om %s','%s sidan','nokre sekund','%d sekund','eit minutt','%d minutt','ein time','%d timar','ein dag','%d dagar','ein månad','%d månader','eit år','%d år'
pa,'%s ਵਿੱਚ','%s ਪਿਛਲੇ','ਕੁਝ ਸਕਿੰਟ','%d ਸਕਿੰਟ','ਇਕ ਮਿੰਟ','%d ਮਿੰਟ','ਇੱਕ ਘੰਟਾ','%d ਘੰਟੇ','ਇੱਕ ਦਿਨ','%d ਦਿਨ','ਇੱਕ ਮਹੀਨਾ','%d ਮਹੀਨੇ','ਇੱਕ ਸਾਲ','%d ਸਾਲ'
pt,'em %s','há %s','segundos','%d segundos','um minuto','%d minutos','uma hora','%d horas','um dia','%d dias','um mês','%d meses','um ano','%d anos'
sd,'%s پوء','%s اڳ','چند سيڪنڊ','%d سيڪنڊ','هڪ منٽ','%d منٽ','هڪ ڪلاڪ','%d ڪلاڪ','هڪ ڏينهن','%d ڏينهن','هڪ مهينو','%d مهينا','هڪ سال','%d سال'
se,'%s geažes','maŋit %s','moadde sekunddat','%d sekunddat','okta minuhta','%d minuhtat','okta diimmu','%d diimmut','okta beaivi','%d beaivvit','okta mánnu','%d mánut','okta jahki','%d jagit'
si,'%sකින්','%sකට පෙර','තත්පර කිහිපය','තත්පර %d','මිනිත්තුව','මිනිත්තු %d','පැය','පැය %d','දිනය','දින %d','මාසය','මාස %d','වසර','වසර %d'
sq,'në %s','%s më parë','disa sekonda','%d sekonda','një minutë','%d minuta','një orë','%d orë','një ditë','%d ditë','një muaj','%d muaj','një vit','%d vite'
ss,'nga %s','wenteka nga %s','emizuzwana lomcane','%d mzuzwana','umzuzu','%d emizuzu','lihora','%d emahora','lilanga','%d emalanga','inyanga','%d tinyanga','umnyaka','%d iminyaka'
sv,'om %s','för %s sedan','några sekunder','%d sekunder','en minut','%d minuter','en timme','%d timmar','en dag','%d dagar','en månad','%d månader','ett år','%d år'
sw,'%s baadaye','tokea %s','hivi punde','sekunde %d','dakika moja','dakika %d','saa limoja','masaa %d','siku moja','masiku %d','mwezi mmoja','miezi %d','mwaka mmoja','miaka %d'
ta,'%s இல்','%s முன்','ஒரு சில விநாடிகள்','%d விநாடிகள்','ஒரு நிமிடம்','%d நிமிடங்கள்','ஒரு மணி நேரம்','%d மணி நேரம்','ஒரு நாள்','%d நாட்கள்','ஒரு மாதம்','%d மாதங்கள்','ஒரு வருடம்','%d ஆண்டுகள்'
te,'%s లో','%s క్రితం','కొన్ని క్షణాలు','%d సెకన్లు','ఒక నిమిషం','%d నిమిషాలు','ఒక గంట','%d గంటలు','ఒక రోజు','%d రోజులు','ఒక నెల','%d నెలలు','ఒక సంవత్సరం','%d సంవత్సరాలు'
tet,'iha %s','%s liuba','minutu balun','minutu %d','minutu ida','minutus %d','horas ida','horas %d','loron ida','loron %d','fulan ida','fulan %d','tinan ida','tinan %d'
th,'อีก %s','%sที่แล้ว','ไม่กี่วินาที','%d วินาที','1 นาที','%d นาที','1 ชั่วโมง','%d ชั่วโมง','1 วัน','%d วัน','1 เดือน','%d เดือน','1 ปี','%d ปี'
tl,'sa loob ng %s','%s ang nakalipas','ilang segundo','%d segundo','isang minuto','%d minuto','isang oras','%d oras','isang araw','%d araw','isang buwan','%d buwan','isang taon','%d taon'
tr,'%s sonra','%s önce','birkaç saniye','%d saniye','bir dakika','%d dakika','bir saat','%d saat','bir gün','%d gün','bir ay','%d ay','bir yıl','%d yıl'
ur,'%s بعد','%s قبل','چند سیکنڈ','%d سیکنڈ','ایک منٹ','%d منٹ','ایک گھنٹہ','%d گھنٹے','ایک دن','%d دن','ایک ماہ','%d ماہ','ایک سال','%d سال'
vi,'%s tới','%s trước','vài giây','%d giây','một phút','%d phút','một giờ','%d giờ','một ngày','%d ngày','một tháng','%d tháng','một năm','%d năm'
yo,'ní %s','%s kọjá','ìsẹjú aayá die','aayá %d','ìsẹjú kan','ìsẹjú %d','wákati kan','wákati %d','ọjọ́ kan','ọjọ́ %d','osù kan','osù %d','ọdún kan','ọdún %d'
zh,'%s內','%s前','幾秒','%d 秒','1 分鐘','%d 分鐘','1 小時','%d 小時','1 天','%d 天','1 個月','%d 個月','1 年','%d 年'
